path,type,spacing,unit
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.5284866346835932,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.5284866346835932,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.245564218143673,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.245564218143673,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.5893688819903937,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.6713181874035457,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.5893688819903937,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.8661469782162803,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.6713181874035457,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.8661469782162803,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.892370469456998,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.7933275185000095,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.892370469456998,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.819998566907723,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.6214300482189479,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.7933275185000095,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.819998566907723,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.8405416373962438,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.6214300482189479,$\mu$m
data/golf/Oct_Image 4_RAW_ch00-3.tif,golf,1.8405416373962438,$\mu$m
