path,type,spacing,unit
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.348470143440213,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.68636121418578,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.65927503809601,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.348470143440213,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.0842885477557218,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.6299114346705101,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.68636121418578,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.6603526061529346,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.3902660603208796,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.0842885477557218,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.6838846517460873,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.65927503809601,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.6299114346705101,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.6603526061529346,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.6838846517460873,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.5134570325955283,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.7909462555476285,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.3902660603208796,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.5134570325955283,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.9539663356420918,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.4852250911455984,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.5842819104396364,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.7909462555476285,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.4852250911455984,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.8104802151813684,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.360793233759654,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.3751751149797817,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.9539663356420918,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.360793233759654,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.8091625438167254,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.5842819104396364,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.3751751149797817,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.8091625438167254,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.71545366060872,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.5842819104396364,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.8104802151813684,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.8382574564939966,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.5842819104396364,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.71545366060872,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.671803449472754,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.5291328214548787,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.4494704480828573,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.4992086889385798,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.5887912608607757,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.671803449472754,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.4494704480828573,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.5615398418035065,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.5400109359829057,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.881531580473871,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.8382574564939966,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.5291328214548787,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.5615398418035065,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.4992086889385798,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.5400109359829057,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,0.3719079036526638,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.5887912608607757,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,1.881531580473871,$\mu$m
data/surface/Oct_Image 3_RAW_ch00-1.tif,surface,0.3719079036526638,$\mu$m
